Country,Year,GDP (current BillUS$),GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual percent change),"Inflation rate, average consumer prices (Annual percent change)",Unemployment,Interest Rate,"Net trade in goods and services (BoP, current USB$)","Central government debt, total (% of GDP)",Population,"Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Population Growth Rate (Percentage),Total Fertility Rate (live births per woman),"Net Migration Rate (per 1,000 population)","Military expenditure (current USD, BS$)",Military expenditure (% of GDP),"Armed forces personnel, total"
Brazil,2019,1873.288205,8845.324149,0.448280407,1.2,3.7,11.936,31.90307275,-11.93421137,92.56525319,206783.993,24.821,97.248,0.647,1.705,-0.623,25.9068712,1.382797246,762000
China,2019,14279.96851,10143.86022,5.575316863,6,2.9,4.56,3.024384821,131.8442973,60.40360647,1421604.871,148.283,104.515,0.269,1.496,-0.461,240.3325555,1.682911012,2535000
France,2019,2728.870247,40494.89829,1.495898988,2.1,1.3,8.415,0.01457,-15.55498577,104.9611611,65642.126,119.209,93.909,0.266,1.826,1.095,50.11892921,1.836461471,304000
Germany,2019,3889.177589,46805.13843,0.847783197,1,1.4,3.136,-0.25,230.8015062,44.65086022,83483.566,239.727,97.55,0.181,1.541,3.819,49.07944469,1.262150257,184000
India,2019,2835.606257,2050.1638,2.811873102,3.9,4.8,6.51,6.894875427,-73.45167132,45.6254179,1389030.312,467.185,106.8,0.999,2.12,-0.705,71.46890052,2.548622174,3045000
Japan,2019,5117.993853,40415.95676,-0.262170829,-0.4,0.5,2.351,0.71452635,-8.615189108,198.0103092,126823.995,336.23,95.551,-0.197,1.323,2.511,50.77800659,0.992231466,261000
South Africa,2019,389.3300322,6702.526617,-1.030132943,0.3,4.1,25.538,5.268415653,1.938862949,60.71389496,59096.278,48.81,94.125,1.65,2.264,5.557,3.435429787,0.884244502,90000
United Kingdom,2019,2851.407165,42662.53537,1.069833349,1.6,1.8,3.737,0.836541255,-39.82963774,160.3221869,66940.028,276.471,96.703,0.509,1.632,3.566,56.56760204,1.9813273,149000
United States,2019,21521.395,65548,2.001482679,2.6,1.8,3.669,3.544497457,-559.394,100.1190443,336437.705,36.927,101.134,0.801,1.684,5.253,734.3441,3.43456772,1388000
Australia,2020,1330.381545,51868.24756,-1.556436301,-2.1,0.9,6.456,0.100214563,49.03824691,69.21905595,25655.914,3.351,98.487,0.683,1.593,1.727,27.3008947,2.010640099,60000
Brazil,2020,1476.107231,6923.699912,-3.918004172,-3.3,3.2,13.697,21.19717969,7.712510588,98.70988195,208126.926,24.965,97.191,0.512,1.653,-0.376,19.591209,1.326660269,762000
China,2020,14687.74416,10408.71955,1.995558042,2.2,2.5,5,3.838601204,358.5726082,70.13746813,1425435.844,148.553,104.414,0.094,1.236,-0.064,257.9734298,1.756699471,2535000
France,2020,2647.418692,39179.74426,-7.791008509,-7.6,0.5,8.01,0.1254135,-45.86854473,123.1721712,65816.792,119.528,93.944,0.269,1.785,2.209,52.74706486,2.002840116,304000
Germany,2020,3887.727162,46749.47623,-3.905303583,-4.1,0.4,3.856,-0.5,217.292548,55.07111316,83634.807,239.926,97.529,-0.015,1.531,2.433,53.31870512,1.373585715,183000
India,2020,2674.851579,1915.551588,-6.673470547,-5.8,6.2,7.859,4.135999578,-8.342168263,46.25147896,1402617.695,471.755,106.741,0.948,2.047,-0.053,72.93706405,2.812527562,3068000
Japan,2020,5055.587094,40040.76551,-3.86470967,-4.2,0,2.809,-0.23456215,-7.597675867,215.7555406,126574.852,335.182,95.517,-0.428,1.304,0.333,51.39653606,1.017829556,261000
South Africa,2020,338.291396,5753.066494,-7.106588783,-6.2,3.3,24.339,2.326406505,15.07923426,72.09646895,60079.493,49.608,94.227,1.595,2.257,6.108,3.231017731,0.957516706,89000
United Kingdom,2020,2697.806592,40217.00901,-10.68716802,-10.3,0.9,4.472,-0.125478965,15.06987493,196.6123934,67281.888,277.464,96.802,0.208,1.571,3.235,58.33237179,2.15677756,153000
United States,2020,21322.95,64317,-3.156444252,-2.2,1.2,8.055,2.194566423,-653.694,124.7331772,339142.428,37.107,101.176,0.173,1.616,0.972,778.3972,3.696009828,1395000
Australia,2021,1559.033756,60697.24544,1.968061646,5.5,2.8,5.116,0.12145141,89.60864812,69.90771702,25831.668,3.379,98.488,0.961,1.647,4.499,32.71806682,1.9891227,59000
Brazil,2021,1670.647399,7794.880979,4.210300254,4.8,8.3,13.159,15.01088497,9.406375942,85.01150367,209194.759,25.071,97.105,0.339,1.638,-0.995,19.18712248,1.163682111,360000
China,2021,17820.45951,12617.5051,8.351719954,8.4,0.9,4.55,-0.193517051,461.4942928,71.83598094,1426776.342,148.587,104.289,-0.048,1.117,-0.266,285.9305181,1.613073864,2560000
France,2021,2959.355819,43671.30841,6.131761316,6.8,2.1,7.874,0.6841253,-30.25489062,116.8867735,65993.763,119.851,93.981,0.272,1.799,1.989,56.64699622,1.915361454,270000
Germany,2021,4278.503935,51426.75037,3.120162973,3.7,3.2,3.638,-0.38,235.4085216,54.47964727,83622.61,240.122,97.503,0.178,1.577,3.707,56.51312677,1.32678559,184800
India,2021,3167.270623,2250.179018,8.818605843,9.7,5.5,6.38,0.316945144,-74.03937443,52.78456874,1414203.896,475.652,106.67,0.699,2.014,-0.247,76.34853879,2.471446629,3091200
Japan,2021,5034.620785,40058.53733,3.032130828,2.7,-0.2,2.828,-0.34879652,-21.81091491,216.3293649,126034.234,333.523,95.457,-0.565,1.275,-0.278,50.95747103,1.018297377,257412
South Africa,2021,420.1178125,7073.612754,3.662368304,5,4.6,28.77,0.508486045,26.20837354,70.52585354,61045.269,50.378,94.326,1.487,2.248,7.451,3.393856591,0.809812626,71253
United Kingdom,2021,3141.506157,46869.75906,8.763985823,8.6,2.6,4.826,0.195412587,-4.719358455,186.8521185,67421.835,278.77,96.88,0.73,1.583,2.903,67.50068776,2.161571918,149280
United States,2021,23594.031,71055,5.633868128,6.1,4.7,5.349,-1.276233311,-848.072,123.8885019,339729.889,37.186,101.131,0.254,1.634,1.984,806.2302,3.457977219,1395000
Australia,2022,1692.956647,65077.67667,2.950325584,3.9,6.6,3.701,2.1023541,94.02816231,57.97474821,26081.167,3.411,98.485,0.915,1.638,5.38,32.29891866,1.898824348,58200
Brazil,2022,1951.923942,9065.497334,2.544332854,3,9.3,9.231,28.39609283,45.35572154,79.10232189,209905.829,25.162,96.995,0.381,1.629,-1.206,20.21078744,1.053422011,360000
China,2022,17881.78339,12662.58317,3.002576026,3,2,4.98,2.51931098,577.6089397,77.09711192,1426098.192,148.456,104.155,-0.129,1.034,-0.206,291.9584285,1.595380743,2420000
France,2022,2779.092237,40886.25327,2.142731649,2.6,5.9,7.308,1.75,-71.20017887,98.66052415,66173.332,120.203,94.018,0.314,1.76,2.706,53.63874877,1.938723418,208000
Germany,2022,4082.469491,48717.99114,1.074951887,1.4,8.7,3.135,2.5,95.26884028,44.52882654,83771.555,241.239,97.503,0.748,1.46,11.673,55.75974783,1.39005501,183051
India,2022,3353.470497,2366.309609,6.26159949,7,6.7,4.822,1.704610929,-134.6609652,57.23145899,1425423.212,479.426,106.615,0.881,1.994,-0.95,81.36318827,2.425227117,3100000
Japan,2022,4256.410761,34017.27181,1.403822375,1.2,2.5,2.6,2.01478562,-157.922697,216.2133755,125324.442,331.713,95.397,-0.523,1.256,1.4,45.99209217,1.077734437,250000
South Africa,2022,405.2708501,6766.481254,1.056874678,1.9,6.9,28.838,3.848990416,8.341479611,73.00317012,61959.937,51.096,94.491,1.342,2.227,3.74,2.995329364,0.739893648,75000
United Kingdom,2022,3088.839763,45564.15694,3.168175372,4.8,9.1,3.73,3.521465574,-86.64053669,142.2830421,67915.749,280.873,96.93,0.773,1.56,2.572,68.46257861,2.227183979,148220
United States,2022,25744.108,77246,1.561598189,2.5,8,3.65,1.05939905,-944.77,121.9853317,340592.993,37.336,101.066,0.551,1.665,3.862,876.9432,3.454919798,1400000
Australia,2023,1723.827215,64711.7656,0.603284936,2,5.6,3.667,4.12365145,67.48534433,58.6325415,26320.802,3.443,98.471,0.985,1.638,5.302,34.19854623,2.04458474,57346
Brazil,2023,2173.665656,10043.62392,2.381177724,2.9,4.6,7.95,37.20750933,42.98650499,74.42564125,210707,25.262,96.909,0.411,1.619,-1.137,21.18254156,1.50125464,376000
China,2023,17794.78199,12614.06099,5.309248534,5.2,0.2,4.67,4.911876235,386.0631518,83.65414787,1424260.946,148.186,103.995,-0.236,0.999,-0.399,296.0123542,1.675214995,2310000
France,2023,3030.90409,44460.81785,0.409870599,1.1,5.7,7.323,3.75,-43.85214121,110.6521478,66381.485,120.496,94.058,0.173,1.639,1.383,61.30125415,1.385241547,238000
Germany,2023,4456.081017,52745.75571,-1.112435856,-0.3,6,3.045,4.5,192.8441709,43.5412654,84400.899,242.564,97.532,0.349,1.441,7.21,68.58412164,1.57452168,181500
India,2023,3549.918919,2484.845429,6.721381414,8.2,5.4,4.172,6.54125478,-84.60244815,56.15478459,1438069.596,483.679,106.564,0.885,1.975,-0.681,83.61214157,2.425231654,3115000
Japan,2023,4212.94516,33834.39211,2.421011183,1.7,3.3,2.575,3.12014785,-69.10612253,263.2145875,124670.714,330.05,95.334,-0.482,1.208,1.407,50.16154123,1.283564125,250000
South Africa,2023,377.781601,6253.161613,-0.265252688,0.7,5.9,27.988,6.673286028,1.217482584,72.23514521,62796.883,51.779,94.728,1.315,2.216,3.61,2.781125465,0.70216589,40200
United Kingdom,2023,3340.032381,48866.60396,-0.714682165,0.3,7.3,4.055,5.256142538,-41.6390902,101.3254147,68442.882,282.948,96.967,0.699,1.56,2.24,54.21021548,2.331452654,152980
United States,2023,27360.935,81695,2.039505936,2.9,4.1,3.625,1.65749377,-784.891,122.3465123,342475.098,37.548,100.995,0.584,1.624,3.851,816.2,3.4514254,1286037
Australia,2024,1802.321543,65966.21459,0.588695485,1.2,3.3,4.1,4.3512546,23.45215749,43.80125415,26713.205,3.4,99,0.99,1.64,5.153,36.80014514,2.02145874,58000
Brazil,2024,2199.1254,10352.21,2.97541254,3,4.3,6.6541,11.25784651,56.2145874,77.84512365,211998.573,25.56,97.1,0.41,1.61,-0.7,24.75412548,1.12153645,212217
China,2024,18012.23654,12969.21451,4.6125412,4.8,0.4,5.1,3.354871456,447.214588,90.12541789,1419321.278,149.03,104,-0.23,1.01,-0.24,316.2154123,1.754385,2300000
France,2024,3130.215465,47359.25412,0.86235412,1.1,2.3,7.412,3.574125,-15.2145876,109.5412365,66548.53,122,94.93,0.17,1.6,0.967,69.02154746,1.325415587,221000
Germany,2024,4710.214563,42793,-2.125462,0,2.4,6.062,2.5,187.2365967,42.3651485,84552.242,243,97.55,0,1.45,1.8,54.58125413,1.39125412,180250
India,2024,3890.124512,2698.214514,7.945865412,7,4.4,7.8,5.52414786,-67.32145875,57.64896515,1450935.791,488.2,106.506,0.92,2.03,0.01,74.31254699,1.896523145,3052000
Japan,2024,4250.235146,43005.21456,1.123554102,0.3,2.2,2.4,1.87451256,-187.4512367,268.145779,123753.041,339,95.25,-0.5,1.22,1.23,56.71452145,1.601214532,247150
South Africa,2024,403.0512365,5975.235415,-0.51202365,1.1,4.7,32.154,7.754121564,5.688922736,74.65214512,64286.88,53,94.88,1.26,2.21,1.757,3.112325645,0.74458654,48400
United Kingdom,2024,3588.214587,52423.21452,7.23651548,1.1,2.6,4.3,4.758641253,-34.25416589,98.84514759,69294.52,286,97.83,0.67,1.55,2.246,57.11254156,2.300215465,148230
United States,2024,29168.2541,86601,2.8125456,2.8,3,4.1,1.8183957,-712.357,123.5489632,346116.77,38,100.975,0.57,1.62,3.9,824.3,3.4854125,1300000
