Country,Year,GDP (current BillUS$),GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual percent change),"Inflation rate, average consumer prices (Annual percent change)",Unemployment,Interest Rate,"Net trade in goods and services (BoP, current USB$)","Central government debt, total (% of GDP)",Population,"Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Population Growth Rate (Percentage),Total Fertility Rate (live births per woman),"Net Migration Rate (per 1,000 population)","Military expenditure (current USD, BS$)",Military expenditure (% of GDP),"Armed forces personnel, total"
China,1998,1029.060748,828.594691,6.816064564,7.9,-0.8,3.24,7.356478446,43.837,20.66444073,1246067.858,130.297,104.308,0.764,1.522,-0.032,17.0317802,1.655080691,3820000
France,1998,1503.108739,24971.57449,3.205153055,3.5,0.7,12.074,4.67451,42.17069654,62.36396883,58663.38,106.603,94.234,0.393,1.764,0.344,33.63356128,2.226208307,452200
Germany,1998,2238.990775,27289.05936,1.998485321,2.1,0.6,9.787,8.36,27.61338308,38.77344347,82415.688,235.288,94.609,-0.985,1.364,-9.2,31.20076808,1.390894786,333500
India,1998,421.3513172,412.5093541,4.19892116,6.2,13.1,7.517,5.121276329,-13.60101631,50.31921817,1018665.08,342.617,107.096,1.921,3.446,-0.001,11.92061082,2.727311417,2265000
Japan,1998,4098.36271,32423.75561,-1.538244076,-1.3,0.7,4.078,2.348223426,72.96860232,80.47828377,126410.088,335.831,96.946,0.22,1.371,0.363,37.84901264,0.938594775,254600
South Africa,1998,152.9829846,3336.439647,-0.743024353,0.5,7,19.821,12.69103362,1.729665352,45.12564152,45951.736,37.863,90.674,1.178,2.63,-1.79,1.905656008,1.383166723,211700
United Kingdom,1998,1653.694932,28274.50451,3.113353056,3.4,1.6,6.198,5.884892441,-11.83060961,90.48673962,58522.833,241.52,93.878,0.355,1.711,1.757,41.22212583,2.495962275,218000
United States,1998,9062.817,32853,3.272229834,4.5,1.5,4.511,7.149945265,-166.13,41.12915443,274761.262,30.185,98.198,0.984,1.98,4.437,290.9960551,3.201558499,1594000
Australia,1999,389.6522121,20712.66978,3.88493233,4.4,1.4,6.876,6.06244473,-10.08242533,31.06607034,18803.233,2.461,98.626,1.129,1.764,4.913,7.770250653,1.889235741,56200
Brazil,1999,599.6420243,3456.423303,-0.948845923,0.5,4.9,11.125,67.06091709,-9.991935231,62.21345875,170427.914,20.536,98.804,1.414,2.335,-0.137,9.866973918,1.645474667,676600
China,1999,1094.003875,873.2923363,6.733485658,7.7,-1.4,3.25,7.204050341,30.641,21.86295593,1255626.395,131.268,104.355,0.722,1.53,-0.076,20.47391509,1.871465914,3820000
France,1999,1493.151738,24678.39106,2.88869862,3.3,0.6,11.981,4.5512,37.92006279,59.1702064,58894.252,107.157,94.316,0.643,1.793,2.868,32.67271428,2.17784297,411600
Germany,1999,2194.945279,26734.94254,1.821428031,2.1,0.6,8.854,8.46,12.1224208,40.4609416,81608.19,234.331,94.86,0.172,1.37,2.685,30.69015843,1.395074355,331000
India,1999,458.8210526,440.9620652,6.851333406,8.8,3.4,7.682,9.191247322,-11.44122884,51.35295144,1038225.823,349.196,107.132,1.883,3.383,-0.092,13.89556246,2.957195647,2263000
Japan,1999,4635.982224,36610.16832,-0.51574059,-0.3,-0.3,4.677,3.444634362,69.16457826,90.65379413,126688.274,336.501,96.866,0.179,1.34,0.449,43.1228985,0.945248337,254600
South Africa,1999,151.5169571,3267.939169,1.268070803,2.4,5.1,19.926,10.39506698,3.459740002,44.63254149,46496.025,38.278,90.65,1.003,2.559,-2.697,1.738036625,1.272052931,78150
United Kingdom,1999,1687.830448,28762.09136,2.723119634,3.1,1.3,6.042,3.917477268,-17.19010596,87.58789856,58730.806,242.393,93.964,0.367,1.682,2.071,40.76040067,2.422909593,218000
United States,1999,9631.172,34515,3.591980378,4.8,2.2,4.219,6.487267351,-255.813,37.72728802,277477.403,30.476,98.426,0.938,1.99,4.148,298.0948913,3.085676783,1575000
Australia,2000,416.1678151,21870.41597,2.738944295,3.1,4.5,6.288,5.037423965,-4.278715479,29.52281212,19016.729,2.49,98.549,1.21,1.764,5.811,7.273760312,1.829841913,51600
Brazil,2000,655.448232,3726.811669,2.970910781,4.4,7,10.892,48.5047282,-10.57060861,63.21458746,172855.172,20.82,98.734,1.337,2.247,-0.263,11.34403253,1.730726147,673200
China,2000,1211.331652,959.3604314,7.638597676,8.5,0.3,3.26,3.710664082,28.873534,22.98670716,1264726.915,132.248,104.406,0.765,1.628,-0.049,22.23714015,1.835759685,3910000
France,2000,1365.639661,22416.42542,3.212384848,4.4,1.8,10.218,4.75,12.92044831,58.29925233,59274.168,107.882,94.22,0.705,1.876,2.885,28.40313895,2.085018245,389400
Germany,2000,1947.981991,23694.76048,2.773221251,2.9,1.4,7.917,10.13,3.860821676,42.24087166,81748.384,234.672,94.819,0.12,1.386,2.134,26.49759316,1.358883033,221100
India,2000,468.3955217,442.0353304,1.965952437,3.8,3.8,7.856,8.342610831,-13.14349427,55.0042465,1057922.733,355.821,107.164,1.875,3.35,-0.136,14.28751424,2.948929906,2372000
Japan,2000,4968.359076,39169.35957,2.592891087,2.8,-0.7,4.748,3.449521334,69.09120172,98.93382307,126914.854,337.101,96.788,0.178,1.346,0.185,45.50967383,0.91598561,248700
South Africa,2000,151.7527572,3241.661396,3.201510449,4.2,5.3,19.841,4.870582387,3.920384073,43.31254715,46964.645,38.63,90.593,0.827,2.413,-2.901,1.891725013,1.387289131,71600
United Kingdom,2000,1665.534877,28280.92679,3.946660415,4.3,0.8,5.558,4.765491918,-19.77218073,87.60202116,58946.508,243.294,94.086,0.375,1.641,2.386,39.34371127,2.372796645,212500
United States,2000,10250.952,36329,2.925862545,4.1,3.4,3.992,6.813792459,-369.689,33.26764187,280093.565,30.771,98.661,0.988,2.03,4.435,320.0863242,3.112242147,1454800
Australia,2001,379.6293017,19695.72974,0.723531157,2.6,4.4,6.747,2.113096865,2.098010276,27.69330593,19248.213,2.521,98.516,1.211,1.738,6.07,7.043145895,1.870093879,51700
Brazil,2001,559.9836348,3142.23514,0.059648944,1.4,6.8,10.649,45.63781871,-7.220433515,67.33541258,175181.391,21.093,98.659,1.27,2.162,-0.293,10.93023157,1.951882445,673200
China,2001,1339.400897,1053.112314,7.551654832,8.3,0.7,3.8,3.72666389,28.084,24.57461999,1274435.436,133.201,104.455,0.671,1.563,-0.138,26.561463,1.983086244,3810000
France,2001,1377.657339,22449.33969,1.24252729,1.8,1.8,8.61,3.75,17.86738631,57.81887921,59693.265,108.646,94.134,0.707,1.879,2.996,27.95156638,2.03069529,374400
Germany,2001,1945.790974,23628.32721,1.510558261,1.6,1.9,7.773,8.62,31.68874258,40.25352813,81846.133,235.064,94.82,0.214,1.354,3.33,25.81540196,1.323438303,308400
India,2001,485.4401392,449.9103137,2.945319361,4.8,4.4,8.039,8.591449296,-9.180938408,59.0179098,1077898.575,362.539,107.187,1.866,3.303,-0.065,14.60064235,2.924435546,2352700
Japan,2001,4374.711694,34406.18246,0.14451169,0.4,-0.7,5.02,3.087795385,26.48067504,102.846758,127140.724,337.718,96.702,0.188,1.325,0.468,40.75796723,0.931672842,252100
South Africa,2001,135.4299059,2867.472497,1.794442757,2.7,5.7,19.725,5.538341433,4.867804949,43.51234156,47354.792,38.963,90.598,0.891,2.373,-1.278,1.802262236,1.483161018,67000
United Kingdom,2001,1649.827264,27906.5695,2.18459671,2.6,1.2,4.696,3.563385019,-28.42468361,84.36484358,59168.168,244.244,94.235,0.405,1.624,2.7,39.51257994,2.411122101,211400
United States,2001,10581.929,37133,-0.038731926,1,2.8,4.731,4.567138944,-360.373,52.44368016,282874.696,31.077,98.828,0.988,2.011,4.617,331.8056106,3.123809803,1420700
Australia,2002,395.788696,20301.84317,2.80352716,4.2,3,6.375,3.424915009,-4.71922038,25.8835396,19482.653,2.551,98.537,1.15,1.765,5.555,7.946766201,1.873964621,50900
Brazil,2002,509.7952738,2824.715413,1.760242779,3.1,8.4,10.641,48.34043745,5.921177448,76.12541689,177421.015,21.357,98.581,1.213,2.081,-0.235,9.664561903,1.895771199,673200
China,2002,1470.557655,1148.514257,8.404879975,9.1,-0.8,4.24,4.679724345,37.38308766,25.91554619,1283014.689,134.049,104.5,0.599,1.566,-0.592,30.28412741,2.059364653,3770000
France,2002,1501.409383,24288.27002,0.401189129,1.1,1.9,8.702,3.25,27.60735111,61.17654987,60116.99,109.411,94.058,0.697,1.865,3.172,30.57839893,2.04625799,361800
Germany,2002,2078.484517,25197.2656,-0.365628327,-0.2,1.3,8.482,8.24,88.40703941,41.83761578,82021.636,235.45,94.855,0.114,1.344,2.666,27.61135567,1.327958121,296000
India,2002,514.9391403,468.8455131,1.975907984,3.8,5,8.248,7.907177189,-5.122207191,62.55277129,1097600.38,369.166,107.201,1.758,3.217,-0.667,14.74966725,2.82686683,2387700
Japan,2002,4182.846046,32820.79364,-0.190392014,0,-0.9,5.386,3.301822933,51.601039,111.8762497,127379.572,338.313,96.605,0.165,1.308,0.477,39.33370817,0.94035754,252100
South Africa,2002,129.0875566,2708.423333,2.760877986,3.7,9,19.658,2.854185516,4.362352875,36.93214569,47778.809,39.334,90.752,1.002,2.324,1.048,1.766082897,1.529309559,60000
United Kingdom,2002,1785.729916,30077.74143,1.36197324,1.8,1.3,5.037,1.838240759,-42.32599654,86.40064661,59408.012,245.285,94.378,0.446,1.633,3.015,44.245266,2.485659675,210400
United States,2002,10929.108,37997,0.761236853,1.7,1.6,5.783,3.073247242,-420.666,53.86253846,285684.581,31.384,98.92,0.975,2.003,4.655,378.4631388,3.447618099,1467000
Australia,2003,467.7390798,23718.13385,1.911738676,3,2.7,5.933,3.521734659,-14.41667153,25.07371362,19708.057,2.58,98.568,1.124,1.764,5.269,9.926649415,1.846289689,53600
Brazil,2003,558.2337457,3056.649798,-0.051285666,1.1,14.7,11.169,46.44739884,17.46161861,71.5142157,179585.952,21.61,98.501,1.148,2.006,-0.306,8.392905884,1.503477636,673200
China,2003,1660.280544,1288.637491,9.354776644,10,1.2,4.58,2.638146636,35.82112907,26.80032058,1290718.988,134.846,104.541,0.587,1.57,-0.474,33.14400048,1.996288936,3750000
France,2003,1844.544792,29627.92426,0.109402979,1,2.2,8.307,2.5,24.04240251,63.67355424,60537.506,110.162,93.994,0.67,1.873,3.22,38.56911581,2.095680413,360400
Germany,2003,2501.640388,30310.3576,-0.755077167,-0.5,1.1,9.779,4.27,94.70084375,42.9838531,82115.017,235.574,94.802,-0.008,1.343,1.729,32.99736302,1.316924865,284500
India,2003,607.7006872,543.8450534,6.016520564,7.9,4.1,8.397,7.30788116,-8.164091361,62.1900539,1116803.006,375.624,107.209,1.711,3.122,-0.543,16.33398664,2.677776932,2414700
Japan,2003,4519.561645,35387.03742,1.318091962,1.5,-0.3,5.251,3.48582884,72.48745262,121.9153209,127589.624,338.809,96.502,0.128,1.285,0.586,42.48617736,0.94004661,252100
South Africa,2003,197.0189653,4095.6837,2.001993713,2.9,5.9,19.728,8.047848389,4.046566618,36.92135642,48260.021,39.728,90.999,0.991,2.358,1.353,2.574176278,1.468811238,55700
United Kingdom,2003,2054.422857,34442.68754,2.667396166,3.2,1.4,4.807,1.272565875,-43.63784463,86.69351698,59673.514,246.437,94.51,0.491,1.698,3.329,52.34312228,2.552062015,212600
United States,2003,11456.45,39490,1.915882478,2.8,2.3,5.989,2.10659449,-496.251,56.25036551,288484.095,31.692,99.012,0.982,2.025,4.592,440.5320696,3.827161045,1480000
Australia,2004,614.6599801,30836.73068,3.115893443,4.1,2.3,5.399,3.698201606,-19.18870245,22.86107102,19930.852,2.609,98.603,1.156,1.784,5.491,11.99521971,1.827410769,52000
Brazil,2004,669.2894248,3623.224462,4.561781957,5.8,6.6,10.072,43.77915272,25.82951096,68.03254173,181659.425,21.856,98.421,1.112,1.973,-0.42,9.780111585,1.461268409,687000
China,2004,1955.346769,1508.667916,9.46155877,10.1,3.9,4.49,-1.282811705,51.17438254,26.39322588,1298315.664,135.635,104.581,0.581,1.605,-0.592,37.90457183,1.938508233,3755000
France,2004,2119.633182,33797.16244,2.076624908,2.5,2.3,8.914,2,17.35587595,64.64241302,60944.745,110.949,93.919,0.754,1.898,3.28,44.52457961,2.104350835,358000
Germany,2004,2814.353869,34106.65812,1.197055352,1.2,1.8,10.727,3.98,146.1733337,44.08540035,82108.214,235.52,94.764,-0.038,1.361,0.996,35.77657389,1.268957396,284000
India,2004,709.1527288,624.108803,6.132606167,7.9,4,8.551,4.910128303,-14.96025337,62.59297674,1135991.513,382.078,107.212,1.696,3.046,-0.182,20.23856653,2.828752248,2617000
Japan,2004,4893.116006,38298.98017,2.151723329,2.2,0,4.734,2.924240609,94.23037435,127.5476298,127752.879,339.192,96.395,0.098,1.277,0.54,45.33980941,0.926604016,251000
